,Date,Quantity,Pred_value,Item
288,2011-11-27,24,19.0,REGENCY CAKESTAND 3 TIER
289,2011-11-28,33,25.0,REGENCY CAKESTAND 3 TIER
290,2011-11-29,82,39.0,REGENCY CAKESTAND 3 TIER
291,2011-11-30,29,87.0,REGENCY CAKESTAND 3 TIER
292,2011-12-01,32,36.0,REGENCY CAKESTAND 3 TIER
293,2011-12-02,15,38.0,REGENCY CAKESTAND 3 TIER
294,2011-12-04,10,20.0,REGENCY CAKESTAND 3 TIER
295,2011-12-05,33,18.0,REGENCY CAKESTAND 3 TIER
296,2011-12-06,146,38.0,REGENCY CAKESTAND 3 TIER
297,2011-12-07,130,151.0,REGENCY CAKESTAND 3 TIER
298,2011-12-08,16,139.0,REGENCY CAKESTAND 3 TIER
299,2011-12-09,10,20.0,REGENCY CAKESTAND 3 TIER
213,2011-11-25,96,203.0,WORLD WAR 2 GLIDERS ASSTD DESIGNS
214,2011-11-27,96,73.0,WORLD WAR 2 GLIDERS ASSTD DESIGNS
215,2011-11-28,58,105.0,WORLD WAR 2 GLIDERS ASSTD DESIGNS
216,2011-11-29,96,40.0,WORLD WAR 2 GLIDERS ASSTD DESIGNS
217,2011-11-30,240,97.0,WORLD WAR 2 GLIDERS ASSTD DESIGNS
218,2011-12-01,198,232.0,WORLD WAR 2 GLIDERS ASSTD DESIGNS
219,2011-12-02,96,187.0,WORLD WAR 2 GLIDERS ASSTD DESIGNS
220,2011-12-05,205,100.0,WORLD WAR 2 GLIDERS ASSTD DESIGNS
221,2011-12-06,240,198.0,WORLD WAR 2 GLIDERS ASSTD DESIGNS
222,2011-12-07,240,250.0,WORLD WAR 2 GLIDERS ASSTD DESIGNS
223,2011-12-08,336,245.0,WORLD WAR 2 GLIDERS ASSTD DESIGNS
224,2011-12-09,48,338.0,WORLD WAR 2 GLIDERS ASSTD DESIGNS
284,2011-11-27,28,1.0,JUMBO BAG RED RETROSPOT
285,2011-11-28,39,61.0,JUMBO BAG RED RETROSPOT
286,2011-11-29,141,37.0,JUMBO BAG RED RETROSPOT
287,2011-11-30,152,152.0,JUMBO BAG RED RETROSPOT
288,2011-12-01,147,131.0,JUMBO BAG RED RETROSPOT
289,2011-12-02,490,133.0,JUMBO BAG RED RETROSPOT
290,2011-12-04,12,415.0,JUMBO BAG RED RETROSPOT
291,2011-12-05,50,40.0,JUMBO BAG RED RETROSPOT
292,2011-12-06,174,55.0,JUMBO BAG RED RETROSPOT
293,2011-12-07,80,155.0,JUMBO BAG RED RETROSPOT
294,2011-12-08,92,75.0,JUMBO BAG RED RETROSPOT
295,2011-12-09,10,89.0,JUMBO BAG RED RETROSPOT
