,Date,Quantity,sales_diff
1,2011-05-12,108,-74107.0
2,2011-05-13,84,-24.0
3,2011-05-16,84,0.0
4,2011-05-18,252,168.0
5,2011-05-19,14,-238.0
6,2011-05-20,12,-2.0
7,2011-05-22,27,15.0
8,2011-05-23,99,72.0
9,2011-05-24,12,-87.0
10,2011-05-25,28,16.0
11,2011-05-26,12,-16.0
12,2011-05-27,60,48.0
13,2011-06-02,12,-48.0
14,2011-06-03,12,0.0
15,2011-06-05,42,30.0
16,2011-06-06,12,-30.0
17,2011-06-07,12,0.0
18,2011-06-08,12,0.0
19,2011-06-09,24,12.0
20,2011-06-10,60,36.0
21,2011-06-12,21,-39.0
22,2011-06-13,12,-9.0
23,2011-06-15,108,96.0
24,2011-06-16,5,-103.0
25,2011-06-20,12,7.0
26,2011-06-22,32,20.0
27,2011-06-23,6,-26.0
28,2011-06-26,2,-4.0
29,2011-06-27,4,2.0
30,2011-06-30,3,-1.0
31,2011-07-04,3,0.0
32,2011-07-05,48,45.0
33,2011-07-06,24,-24.0
34,2011-07-11,2,-22.0
35,2011-07-12,16,14.0
36,2011-07-13,60,44.0
37,2011-07-15,12,-48.0
38,2011-07-19,1,-11.0
39,2011-07-21,48,47.0
40,2011-07-24,144,96.0
41,2011-07-27,12,-132.0
42,2011-07-28,60,48.0
43,2011-07-31,288,228.0
44,2011-08-01,27,-261.0
45,2011-08-02,41,14.0
46,2011-08-03,16,-25.0
47,2011-08-04,36,20.0
48,2011-08-09,24,-12.0
49,2011-08-10,14,-10.0
50,2011-08-11,12,-2.0
51,2011-08-12,4,-8.0
52,2011-08-15,9,5.0
53,2011-08-18,108,99.0
54,2011-08-19,24,-84.0
55,2011-08-22,12,-12.0
56,2011-08-23,25,13.0
57,2011-08-24,12,-13.0
58,2011-08-26,24,12.0
59,2011-08-28,5,-19.0
60,2011-08-30,12,7.0
61,2011-09-04,6,-6.0
62,2011-09-05,18,12.0
63,2011-09-06,96,78.0
64,2011-09-09,12,-84.0
65,2011-09-12,12,0.0
66,2011-09-15,1,-11.0
67,2011-09-16,24,23.0
68,2011-09-18,2,-22.0
69,2011-09-19,24,22.0
70,2011-09-20,15,-9.0
71,2011-09-22,52,37.0
72,2011-09-25,1,-51.0
73,2011-09-26,12,11.0
74,2011-09-27,12,0.0
75,2011-09-28,55,43.0
76,2011-10-03,12,-43.0
77,2011-10-07,27,15.0
78,2011-10-10,24,-3.0
79,2011-10-12,48,24.0
80,2011-10-13,6,-42.0
81,2011-10-17,12,6.0
82,2011-10-18,17,5.0
83,2011-10-19,2,-15.0
84,2011-10-20,24,22.0
85,2011-10-23,1,-23.0
86,2011-10-24,18,17.0
87,2011-10-25,6,-12.0
88,2011-10-27,12,6.0
89,2011-10-30,22,10.0
90,2011-10-31,4,-18.0
91,2011-11-01,1,-3.0
92,2011-11-04,24,23.0
93,2011-11-06,2,-22.0
94,2011-11-07,4,2.0
95,2011-11-08,7,3.0
96,2011-11-11,48,41.0
97,2011-11-13,12,-36.0
98,2011-11-15,1,-11.0
99,2011-11-16,10,9.0
100,2011-11-17,6,-4.0
101,2011-11-18,14,8.0
102,2011-11-21,264,250.0
103,2011-11-22,96,-168.0
104,2011-11-24,48,-48.0
105,2011-11-25,1,-47.0
106,2011-11-27,8,7.0
107,2011-11-28,14,6.0
108,2011-11-29,10,-4.0
109,2011-11-30,61,51.0
110,2011-12-01,24,-37.0
111,2011-12-05,108,84.0
112,2011-12-06,5,-103.0
113,2011-12-07,2,-3.0
114,2011-12-09,48,46.0
